#! FIELDS phi ffphi dffphi_phi
#! SET normalisation  1.000000
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  600
#! SET periodic_phi true
 -3.141593 19.688273 -133.734889
 -3.131121 18.315598 -124.623152
 -3.120649 17.036725 -115.835867
 -3.110177 15.866203 -106.905040
 -3.099705 14.793282 -98.040586
 -3.089233 13.800340 -89.804170
 -3.078761 12.901185 -81.627423
 -3.068289 12.083404 -73.897812
 -3.057817 11.346501 -66.512218
 -3.047345 10.681314 -59.752147
 -3.036873 10.088067 -53.404935
 -3.026401 9.557477 -47.707330
 -3.015929 9.084041 -42.663212
 -3.005457 8.659976 -38.350662
 -2.994985 8.275979 -34.884862
 -2.984513 7.923538 -32.275694
 -2.974041 7.594226 -30.476955
 -2.963569 7.279942 -29.396929
 -2.953097 6.973921 -28.878306
 -2.942625 6.672126 -28.671054
 -2.932153 6.371943 -28.571507
 -2.921681 6.072480 -28.434493
 -2.911209 5.775304 -28.124789
 -2.900737 5.483232 -27.555545
 -2.890265 5.198411 -26.754932
 -2.879793 4.922235 -25.810340
 -2.869321 4.656986 -24.721665
 -2.858849 4.403836 -23.519290
 -2.848377 4.163934 -22.203294
 -2.837905 3.938352 -20.769902
 -2.827433 3.728784 -19.200010
 -2.816961 3.536106 -17.506734
 -2.806489 3.361608 -15.753914
 -2.796017 3.205423 -14.022757
 -2.785545 3.066780 -12.424866
 -2.775074 2.943729 -11.071763
 -2.764602 2.833321 -10.044540
 -2.754130 2.731707 -9.395762
 -2.743658 2.635151 -9.080241
 -2.733186 2.540461 -9.012522
 -2.722714 2.445664 -9.080742
 -2.712242 2.349848 -9.141142
 -2.701770 2.254175 -9.069998
 -2.691298 2.160359 -8.777480
 -2.680826 2.071031 -8.252234
 -2.670354 1.988410 -7.474809
 -2.659882 1.914891 -6.511129
 -2.649410 1.852233 -5.420304
 -2.638938 1.801178 -4.297030
 -2.628466 1.761837 -3.245637
 -2.617994 1.732740 -2.379727
 -2.607522 1.711200 -1.814605
 -2.597050 1.693673 -1.624545
 -2.586578 1.676066 -1.821867
 -2.576106 1.654445 -2.339262
 -2.565634 1.626295 -3.036194
 -2.555162 1.590944 -3.714315
 -2.544690 1.549533 -4.173813
 -2.534218 1.505083 -4.243097
 -2.523746 1.462251 -3.874064
 -2.513274 1.425600 -3.122115
 -2.502802 1.398390 -2.066565
 -2.492330 1.383155 -0.858751
 -2.481858 1.380608 0.329886
 -2.471386 1.389806 1.346851
 -2.460914 1.408308 2.112156
 -2.450442 1.433497 2.597222
 -2.439970 1.462456 2.845639
 -2.429498 1.493163 2.948805
 -2.419026 1.524794 3.050356
 -2.408554 1.557982 3.263807
 -2.398082 1.594316 3.675022
 -2.387610 1.636132 4.298155
 -2.377138 1.685443 5.118460
 -2.366666 1.743993 6.053049
 -2.356194 1.812721 7.008394
 -2.345723 1.891253 7.894497
 -2.335251 1.978501 8.653905
 -2.324779 2.072636 9.207769
 -2.314307 2.171229 9.494213
 -2.303835 2.271306 9.496930
 -2.293363 2.369993 9.210535
 -2.282891 2.464365 8.671825
 -2.272419 2.552084 7.941082
 -2.261947 2.631324 7.108833
 -2.251475 2.701429 6.262571
 -2.241003 2.763124 5.446227
 -2.230531 2.817030 4.778672
 -2.220059 2.864955 4.295284
 -2.209587 2.909039 4.009823
 -2.199115 2.951296 3.975265
 -2.188643 2.994415 4.208614
 -2.178171 3.041260 4.663315
 -2.167699 3.093801 5.316876
 -2.157227 3.153787 6.116701
 -2.146755 3.222658 6.943298
 -2.136283 3.300158 7.710514
 -2.125811 3.384783 8.338744
 -2.115339 3.474737 8.715488
 -2.104867 3.566760 8.750444
 -2.094395 3.657247 8.402631
 -2.083923 3.741852 7.701468
 -2.073451 3.817694 6.684165
 -2.062979 3.881632 5.407356
 -2.052507 3.931713 4.031541
 -2.042035 3.966879 2.584327
 -2.031563 3.986694 1.135041
 -2.021091 3.991364 -0.303880
 -2.010619 3.981045 -1.716075
 -2.000147 3.956199 -3.082975
 -1.989675 3.917702 -4.331086
 -1.979203 3.867549 -5.352444
 -1.968731 3.807880 -5.976509
 -1.958259 3.744009 -6.137784
 -1.947787 3.681235 -5.772019
 -1.937315 3.625451 -4.860957
 -1.926843 3.581681 -3.465667
 -1.916372 3.554257 -1.750323
 -1.905900 3.545409 0.073185
 -1.895428 3.555474 1.763360
 -1.884956 3.580815 3.045478
 -1.874484 3.616774 3.678636
 -1.864012 3.654673 3.463536
 -1.853540 3.685300 2.282801
 -1.843068 3.699231 0.200102
 -1.832596 3.687645 -2.565979
 -1.822124 3.644716 -5.613250
 -1.811652 3.569739 -8.572361
 -1.801180 3.466181 -11.100633
 -1.790708 3.339129 -13.007925
 -1.780236 3.195527 -14.279044
 -1.769764 3.041729 -14.991334
 -1.759292 2.883027 -15.255716
 -1.748820 2.722987 -15.223886
 -1.738348 2.564557 -14.975089
 -1.727876 2.409530 -14.577178
 -1.717404 2.259634 -14.054158
 -1.706932 2.115475 -13.432143
 -1.696460 1.977714 -12.813509
 -1.685988 1.846474 -12.188713
 -1.675516 1.721601 -11.647700
 -1.665044 1.601554 -11.241854
 -1.654572 1.485063 -10.985303
 -1.644100 1.370294 -10.902177
 -1.633628 1.255281 -11.004170
 -1.623156 1.138631 -11.250757
 -1.612684 1.018488 -11.634679
 -1.602212 0.894076 -12.105879
 -1.591740 0.764673 -12.595909
 -1.581268 0.630302 -13.043806
 -1.570796 0.491714 -13.367719
 -1.560324 0.350652 -13.506311
 -1.549852 0.209239 -13.415446
